frame_index,timestamp,character_x,character_y,character_facing,character_confidence,monster_count,monster_centers,a_wave_state,a_wave_direction,a_wave_confidence,a_wave_provenance,registration_ok,registration_confidence,quality_flags
17388,657.293533,,,unknown,0.0,1,"[[1388.0, 767.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
17441,659.293867,,,right,0.55,3,"[[840.0, 767.0], [1026.0, 759.0], [598.0, 421.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
17496,661.328933,,,unknown,0.0,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
17550,663.3293,,,unknown,0.0,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
17603,665.3296,,,right,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
17656,667.336933,,,left,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
17712,669.3581,,,left,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
17766,671.365367,,,left,0.55,2,"[[160.0, 731.0], [570.0, 389.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
17818,673.3796,,,unknown,0.0,1,"[[1411.0, 721.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
17872,675.393867,,,right,0.55,1,"[[1054.0, 781.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
17926,677.422,,,unknown,0.0,1,"[[494.0, 195.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
17980,679.4362,,,unknown,0.0,5,"[[472.0, 199.0], [832.0, 769.0], [1326.0, 769.0], [1138.0, 769.0], [496.0, 409.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
18035,681.450467,,,right,0.55,2,"[[446.0, 767.0], [752.0, 767.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
18086,683.457767,,,unknown,0.0,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
18139,685.478933,,,unknown,0.0,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
18193,687.507067,,,right,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
18244,689.514333,,,left,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
18299,691.535533,,,left,0.55,1,"[[488.0, 721.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
18353,693.535867,,,left,0.55,1,"[[556.0, 157.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
18409,695.5501,,,right,0.55,2,"[[660.0, 761.0], [495.0, 389.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
18461,697.5852,,,unknown,0.0,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
18516,699.606333,,,unknown,0.0,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
18566,701.620633,,,unknown,0.0,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
18618,703.634833,,,right,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
18671,705.6421,,,left,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
18724,707.656367,,,left,0.55,1,"[[186.0, 721.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
18778,709.6567,,,left,0.55,1,"[[1332.0, 775.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
18833,711.670933,,,unknown,0.0,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
18887,713.699033,,,unknown,0.0,1,"[[569.0, 193.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
18939,715.720233,,,unknown,0.0,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
18992,717.741433,,,right,0.55,3,"[[322.0, 789.0], [432.0, 221.0], [1403.0, 775.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
19045,719.769567,,,left,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
19099,721.797667,,,left,0.55,1,"[[1268.0, 723.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
19151,723.804933,,,left,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
19202,725.8331,,,unknown,0.0,1,"[[780.0, 643.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
19255,727.9029,,,right,0.55,1,"[[1484.0, 755.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
19310,729.903233,,,right,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
19362,731.9036,,,left,0.55,1,"[[1784.0, 719.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
19417,733.903933,,,left,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
19470,735.904267,534.0,601.0,right,0.41350000000000003,0,[],unknown,unknown,0.3,keys,True,1.0,a_key_without_visual_wave
19523,737.932367,,,unknown,0.0,3,"[[1020.0, 611.0], [440.0, 155.0], [357.0, 709.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
19576,739.932733,534.0,601.0,right,0.4337,0,[],active,left,0.575,visual,True,1.0,
19627,741.94,,,right,0.55,2,"[[1398.0, 723.0], [514.0, 155.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
19678,743.968133,,,right,0.55,3,"[[586.0, 195.0], [1394.0, 761.0], [1280.0, 641.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
19730,745.996267,,,unknown,0.0,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
19783,748.024433,,,right,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
19838,750.038633,,,unknown,0.0,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
19890,752.066767,,,right,0.55,1,"[[546.0, 437.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
19945,754.081,,,right,0.55,1,"[[1646.0, 725.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
19998,756.095233,,,left,0.55,1,"[[798.0, 723.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
20053,758.1164,,,unknown,0.0,1,"[[90.0, 623.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
20107,760.123733,,,left,0.55,3,"[[708.0, 379.0], [1558.0, 725.0], [566.0, 151.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
20161,762.1379,,,right,0.55,3,"[[984.0, 761.0], [542.0, 191.0], [1178.0, 761.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
20214,764.145233,,,unknown,0.0,1,"[[632.0, 401.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
20265,766.159467,,,unknown,0.0,1,"[[1512.0, 759.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
20316,768.159833,,,unknown,0.0,2,"[[262.0, 415.0], [1382.0, 761.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
20368,770.160167,,,unknown,0.0,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
20420,772.167433,,,right,0.55,1,"[[830.0, 783.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
20473,774.1747,,,unknown,0.0,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
20526,776.230633,,,left,0.55,1,"[[630.0, 845.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
20580,778.258767,,,unknown,0.0,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
20633,780.2591,,,unknown,0.0,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
20687,782.2803,,,right,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
20738,784.2876,,,left,0.55,1,"[[516.0, 849.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
20790,786.308767,,,unknown,0.0,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
20842,788.316067,,,unknown,0.0,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
20899,790.323367,,,unknown,0.0,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
20952,792.323667,,,right,0.55,3,"[[1114.0, 869.0], [270.0, 519.0], [1568.0, 877.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
21006,794.3449,,,right,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
21059,796.379933,,,left,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
